id	disposition	duplicateOf	evidence
p3:truncated_fragment:sim-112:api	proven_duplicate	p3:truncated_fragment:sim-112:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-121:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-121:api	proven_duplicate	p3:truncated_fragment:sim-121:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-122:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-122:api	proven_duplicate	p3:truncated_fragment:sim-122:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-123:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-123:api	proven_duplicate	p3:truncated_fragment:sim-123:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-124:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-124:api	proven_duplicate	p3:truncated_fragment:sim-124:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-138:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-138:api	proven_duplicate	p3:truncated_fragment:sim-138:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-139:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-139:api	proven_duplicate	p3:truncated_fragment:sim-139:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-359:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-359:api	proven_duplicate	p3:truncated_fragment:sim-359:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-375:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-375:api	proven_duplicate	p3:truncated_fragment:sim-375:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
